,,targets,pct,pct_acum
Tom Brady,R.Gronkowski,498,0.0979,0.0979
Tom Brady,J.Edelman,481,0.0946,0.1925
Tom Brady,J.White,409,0.0804,0.2729
Tom Brady,C.Godwin,352,0.0692,0.3421
Tom Brady,M.Evans,348,0.0684,0.4105
Tom Brady,0,311,0.0612,0.4717
Tom Brady,L.Fournette,214,0.0421,0.5138
Tom Brady,D.Amendola,190,0.0374,0.5512
Tom Brady,C.Hogan,156,0.0307,0.5819
Tom Brady,C.Brate,129,0.0254,0.6073
Tom Brady,A.Brown,129,0.0254,0.6327
Tom Brady,B.Cooks,113,0.0222,0.6549
Tom Brady,P.Dorsett,110,0.0216,0.6765
Tom Brady,D.Lewis,109,0.0214,0.6979
Tom Brady,J.Gordon,104,0.0205,0.7184
Tom Brady,S.Miller,97,0.0191,0.7375
Tom Brady,R.Burkhead,93,0.0183,0.7558
Tom Brady,B.LaFell,73,0.0144,0.7702
Tom Brady,R.Gage,70,0.0138,0.784
Tom Brady,T.Johnson,69,0.0136,0.7976
Tom Brady,C.Otton,65,0.0128,0.8104
Tom Brady,M.Bennett,59,0.0116,0.822
Tom Brady,R.White,58,0.0114,0.8334
Tom Brady,R.Jones,55,0.0108,0.8442
Tom Brady,M.Sanu,47,0.0092,0.8534
Tom Brady,B.Bolden,45,0.0088,0.8622
Tom Brady,J.Jones,43,0.0085,0.8707
Tom Brady,S.Chandler,41,0.0081,0.8788
Tom Brady,O.Howard,40,0.0079,0.8867
Tom Brady,M.Mitchell,39,0.0077,0.8944
Tom Brady,J.Meyers,39,0.0077,0.9021
Tom Brady,K.Martin,37,0.0073,0.9094
Tom Brady,B.Perriman,35,0.0069,0.9163
Tom Brady,J.Develin,32,0.0063,0.9226
Tom Brady,S.Michel,31,0.0061,0.9287
Tom Brady,C.Patterson,29,0.0057,0.9344
Tom Brady,G.Bernard,28,0.0055,0.9399
Tom Brady,D.Allen,26,0.0051,0.945
Tom Brady,N.Harry,24,0.0047,0.9497
Tom Brady,B.Watson,24,0.0047,0.9544
Tom Brady,A.Dobson,21,0.0041,0.9585
Tom Brady,K.Vaughn,20,0.0039,0.9624
Tom Brady,M.LaCosse,19,0.0037,0.9661
Tom Brady,L.McCoy,18,0.0035,0.9696
Tom Brady,J.Hollister,16,0.0031,0.9727
Tom Brady,C.Grayson,14,0.0028,0.9755
Tom Brady,L.Blount,12,0.0024,0.9779
Tom Brady,J.Watson,11,0.0022,0.9801
Tom Brady,J.Darden,11,0.0022,0.9823
